UF,Tipo Crime,Ano,Mês,Ocorrências
Alagoas,Furto de veículo,2018,março,101
Alagoas,Homicídio doloso,2018,março,118
Alagoas,Lesão corporal seguida de morte,2018,março,2
Alagoas,Roubo a instituição financeira,2018,março,2
Alagoas,Roubo de carga,2018,março,9
Alagoas,Roubo de veículo,2018,março,292
Alagoas,Roubo seguido de morte (latrocínio),2018,março,6
Alagoas,Tentativa de homicídio,2018,março,36
Alagoas,Estupro,2018,abril,46
Alagoas,Furto de veículo,2018,abril,119
Alagoas,Homicídio doloso,2018,abril,136
Alagoas,Lesão corporal seguida de morte,2018,abril,0
Alagoas,Roubo a instituição financeira,2018,abril,3
Alagoas,Roubo de carga,2018,abril,7
Alagoas,Roubo de veículo,2018,abril,314
Alagoas,Roubo seguido de morte (latrocínio),2018,abril,3
Alagoas,Tentativa de homicídio,2018,abril,34
Alagoas,Estupro,2018,maio,44
Alagoas,Furto de veículo,2018,maio,116
Alagoas,Homicídio doloso,2018,maio,112
Alagoas,Lesão corporal seguida de morte,2018,maio,0
Alagoas,Roubo a instituição financeira,2018,maio,4
Alagoas,Roubo de carga,2018,maio,7
Alagoas,Roubo de veículo,2018,maio,317
Alagoas,Roubo seguido de morte (latrocínio),2018,maio,1
Alagoas,Tentativa de homicídio,2018,maio,55
Alagoas,Estupro,2018,junho,34
Alagoas,Furto de veículo,2018,junho,135
Alagoas,Homicídio doloso,2018,junho,113
